i,d
b,i,o,i,d
d,a,t,e,_,o,f,_,b,i,r,t,h
1,B000944,1952-11-09
2,C000127,1958-10-13
3,C000141,1943-10-05
4,C000174,1947-01-23
5,C001070,1960-04-13
6,F000062,1933-06-22
7,K000367,1960-05-25
8,M000639,1954-01-01
9,S000033,1941-09-08
10,S000770,1950-04-29
11,T000464,1956-08-21
12,W000802,1955-10-20
13,B001261,1952-07-21
14,W000437,1951-07-05
15,A000360,1940-07-03
16,C001035,1952-12-07
17,C001056,1952-02-02
18,D000563,1944-11-21
19,E000285,1944-02-01
20,G000359,1955-07-09
21,I000024,1934-11-17
22,M000355,1942-02-20
23,M001176,1956-10-24
24,R000122,1949-11-12
25,R000584,1943-05-03
26,R000307,1936-04-20
27,S001181,1947-01-28
28,U000039,1948-05-18
29,W000805,1954-12-15
30,G000555,1966-12-09
31,C001088,1963-09-09
32,M001183,1947-08-24
33,A000055,1965-07-22
34,A000367,1980-04-18
35,B001230,1962-02-11
36,B001270,1953-10-03
37,B001267,1964-11-28
38,B001257,1963-02-08
39,B001250,1951-07-13
40,B000490,1947-02-04
41,B001243,1952-06-06
42,B000574,1948-08-16
43,B001277,1946-02-13
44,B000575,1950-01-10
45,B001236,1950-12-10
46,B000755,1955-04-11
47,B001274,1954-04-29
48,B001260,1951-05-08
49,B001275,1962-05-31
50,B001248,1950-12-23
51,B001135,1955-11-30
52,B001251,1947-04-27
53,C000059,1953-06-08
54,C001047,1953-11-26
55,C001072,1974-10-16
56,C001051,1941-11-06
57,C001075,1957-09-28
58,C001066,1966-08-20
59,C000266,1953-01-22
60,C001080,1953-07-07
61,C001084,1961-07-15
62,C001067,1964-11-21
63,C001049,1956-07-27
64,C001061,1944-10-26
65,C000537,1940-07-21
66,C001068,1949-05-24
67,C001053,1949-04-28
68,C001062,1948-06-11
69,C001078,1950-03-30
70,C000754,1954-06-19
71,C001059,1952-04-13
72,C001069,1953-04-06
73,C000880,1951-05-20
74,C001087,1966-01-22
75,C001063,1955-09-19
76,D000096,1941-09-06
77,D000598,1944-04-13
78,D000191,1947-05-27
79,D000197,1957-07-29
80,D000216,1943-03-02
81,D000616,1964-02-21
82,D000610,1966-05-07
83,D000600,1961-09-25
84,D000399,1946-10-06
85,D000482,1953-08-05
86,D000615,1966-01-07
87,E000179,1947-02-18
88,E000215,1942-12-13
89,F000459,1962-10-11
90,F000461,1954-02-25
91,F000449,1960-12-27
92,F000450,1943-06-29
